Place,State,Type,Population,Latitude,Longitude,County,County FIPS,Location Dropped in Analysis
Palmer,Alaska,city,6094,61.599415,-149.1146333,Matanuska-Susitna Borough,2170,
Klawock,Alaska,city,717,55.5520852,-133.081983,Prince of Wales-Hyder Census Area,2198,
New Stuyahok,Alaska,city,506,59.4514032,-157.3143897,Dillingham Census Area,2070,
Akutan,Alaska,city,1299,54.1336126,-165.7753862,Aleutians East Borough,2013,
St. Paul,Alaska,city,492,57.1208002,-170.2829517,Aleutians West Census Area,2016,
Ketchikan,Alaska,city,8037,55.3422222,-131.6461111,Ketchikan Gateway Borough,2130,
Nenana,Alaska,city,358,64.5633957,-149.0938987,Yukon-Koyukuk Census Area,2290,
Kotzebue,Alaska,city,3110,66.8969151,-162.5930667,Northwest Arctic Borough,2188,
Eek,Alaska,city,401,60.2167837,-162.0264471,Bethel Census Area,2050,
Sand Point,Alaska,city,777,55.3404686,-160.4985822,Aleutians East Borough,2013,
Soldotna,Alaska,city,4444,60.4863829,-151.0571796,Kenai Peninsula Borough,2122,
Anaktuvuk Pass,Alaska,city,455,68.1433076,-151.7328707,North Slope Borough,2185,
Kachemak,Alaska,city,584,59.6717724,-151.4322932,Kenai Peninsula Borough,2122,
Aniak,Alaska,city,501,61.5828737,-159.5431623,Bethel Census Area,2050,
Kake,Alaska,city,543,56.9766938,-133.9461823,Prince of Wales-Hyder Census Area,2198,
Port Lions,Alaska,city,167,57.8674157,-152.8831903,Kodiak Island Borough,2150,
Ambler,Alaska,city,258,67.0867227,-157.8581339,Northwest Arctic Borough,2188,
Egegik,Alaska,city,36,58.213737,-157.3742534,Lake and Peninsula Borough,2164,
Aleknagik,Alaska,city,207,59.2794209,-158.6210674,Dillingham Census Area,2070,
Upper Kalskag,Alaska,city,217,61.5385749,-160.3195013,Bethel Census Area,2050,
Diomede,Alaska,city,82,65.7594706,-168.9504794,Nome Census Area,2180,
Adak,Alaska,city,177,51.8667982,-176.6385354,Aleutians West Census Area,2016,
Goodnews Bay,Alaska,city,261,59.1175331,-161.5842091,Bethel Census Area,2050,
Chuathbaluk,Alaska,city,103,61.5719444,-159.245,Bethel Census Area,2050,
Ouzinkie,Alaska,city,105,57.923322,-152.5019368,Kodiak Island Borough,2150,
Shaktoolik,Alaska,city,212,64.3577218,-161.2007313,Nome Census Area,2180,
Ekwok,Alaska,city,106,59.3500073,-157.474768,Dillingham Census Area,2070,
Chignik,Alaska,city,91,56.2953028,-158.4044923,Lake and Peninsula Borough,2164,
Kaltag,Alaska,city,160,64.3279408,-158.7261772,Yukon-Koyukuk Census Area,2290,
Lower Kalskag,Alaska,city,279,61.5114542,-160.3633267,Bethel Census Area,2050,
Fairbanks,Alaska,city,32702,64.8400511,-147.7199756,Fairbanks North Star Borough,2090,
Lodi,California,city,67021,38.1341477,-121.2722194,San Joaquin County,6077,
Modesto,California,city,218771,37.6392595,-120.9970014,Stanislaus County,6099,
Selma,California,city,24625,36.5707838,-119.6120765,Fresno County,6019,
Sanger,California,city,26716,36.708006,-119.5559652,Fresno County,6019,
Madera,California,city,67944,36.9613356,-120.0607176,Madera County,6039,
Lathrop,California,city,30659,37.8227046,-121.27661,San Joaquin County,6077,
Stockton,California,city,322120,37.9577016,-121.2907796,San Joaquin County,6077,
Oakdale,California,city,23235,37.7666263,-120.8470308,Stanislaus County,6099,
Ceres,California,city,49282,37.5947202,-120.9568815,Stanislaus County,6099,
Turlock,California,city,72682,37.4945743,-120.8459786,Stanislaus County,6099,
Los Banos,California,city,46398,37.0582786,-120.8499151,Merced County,6047,
Manteca,California,city,85792,37.7974273,-121.2160526,San Joaquin County,6077,
Patterson,California,city,23808,37.4716546,-121.1299128,Stanislaus County,6099,
Clovis,California,city,122989,36.8252277,-119.7029194,Fresno County,6019,
Tracy,California,city,95387,37.7395818,-121.4260018,San Joaquin County,6077,
Parlier,California,city,14691,36.6116174,-119.5270734,Fresno County,6019,
Waterford,California,city,9158,37.640545,-120.7615808,Stanislaus County,6099,
Coalinga,California,city,17465,36.139678,-120.3601496,Fresno County,6019,
Fowler,California,city,6934,36.6305058,-119.6784697,Fresno County,6019,
Kerman,California,city,16174,36.7235572,-120.059879,Fresno County,6019,
Escalon,California,city,7523,37.7974273,-120.9966033,San Joaquin County,6077,
Firebaugh,California,city,8108,36.8588376,-120.4560072,Fresno County,6019,
Ripon,California,city,16440,37.7394537,-121.1354141,San Joaquin County,6077,
Mendota,California,city,12735,36.7535611,-120.3815574,Fresno County,6019,
Chowchilla,California,city,19007,37.1229997,-120.2601754,Madera County,6039,
Kingsburg,California,city,12662,36.5138398,-119.5540175,Fresno County,6019,
Huron,California,city,6222,36.2027308,-120.1029177,Fresno County,6019,
Livingston,California,city,14528,37.3868826,-120.7235329,Merced County,6047,
Newman,California,city,12328,37.3137067,-121.0205526,Stanislaus County,6099,
Orange Cove,California,city,9619,36.624394,-119.3137301,Fresno County,6019,
Fresno,California,city,544510,36.7377981,-119.7871247,Fresno County,6019,
Lemoore,California,city,27259,36.3007835,-119.7829107,Kings County,6031,
