Query,Category,from_google_trends
2022 ballot,Ballots,1
absentee ballot,Ballots,1
ballots,Ballots,1
election ballot,Ballots,1
election ballot 2022,Ballots,1
issues on my ballot,Ballots,0
my absentee ballot,Ballots,0
my ballot,Ballots,0
my election ballot,Ballots,0
sample ballot,Ballots,1
sample ballot 2022,Ballots,1
sample ballot for my county,Ballots,0
vote ballot,Ballots,1
voting ballot,Ballots,1
voting ballot 2022,Ballots,1
what is on the ballot,Ballots,1
2022 election candidates,Candidates and Issues,1
abortion ballot initiative,Candidates and Issues,0
abortion ballot proposals,Candidates and Issues,0
abortion candidates,Candidates and Issues,0
abortion election,Candidates and Issues,0
abortion midterms,Candidates and Issues,0
abortion on the ballot,Candidates and Issues,0
abortion opinion,Candidates and Issues,0
abortion vote,Candidates and Issues,0
anti-abortion candidates,Candidates and Issues,0
background on candidates 2022 election,Candidates and Issues,0
best candidates to vote for,Candidates and Issues,0
candidate backgrounds,Candidates and Issues,0
candidate debates,Candidates and Issues,0
candidate endoresements,Candidates and Issues,0
candidate issues,Candidates and Issues,0
candidate midterm info,Candidates and Issues,0
candidate opinions,Candidates and Issues,0
candidate platforms,Candidates and Issues,0
candidate views,Candidates and Issues,0
candidates for my district,Candidates and Issues,0
candidates of my state,Candidates and Issues,0
congressional candidates,Candidates and Issues,0
democratic candidates,Candidates and Issues,0
democrats house,Candidates and Issues,0
democrats midterms,Candidates and Issues,0
democrats senate,Candidates and Issues,0
fact checks for candidates election 2022,Candidates and Issues,0
favored candidates near me,Candidates and Issues,0
independent candidates,Candidates and Issues,0
midterm candidate abortion,Candidates and Issues,0
midterm candidate stances,Candidates and Issues,0
midterm issues,Candidates and Issues,0
names of candidates,Candidates and Issues,0
pro choice candidates,Candidates and Issues,0
pro life candidates,Candidates and Issues,0
republican candidates,Candidates and Issues,0
republicans house,Candidates and Issues,0
republicans midterms,Candidates and Issues,0
republicans senate,Candidates and Issues,0
single issue voters abortion,Candidates and Issues,0
third party candidates,Candidates and Issues,0
Top issues for voters 2022,Candidates and Issues,0
what candidates are running,Candidates and Issues,0
what does my candidate think about abortion,Candidates and Issues,0
where do candidates stand on abortion?,Candidates and Issues,0
who is on the ballot,Candidates and Issues,1
who is running for election,Candidates and Issues,0
who should I vote for,Candidates and Issues,0
who to vote for,Candidates and Issues,0
2022 election predictions,General Election Topics,1
2022 midterm,General Election Topics,1
2022 midterm elections,General Election Topics,1
blue wave 2022,General Election Topics,0
election 2022,General Election Topics,1
election 2022 polls,General Election Topics,1
election campaign,General Election Topics,0
election news,General Election Topics,0
election polls near me,General Election Topics,1
election races,General Election Topics,0
election results,General Election Topics,1
election results 2022,General Election Topics,1
election results near me,General Election Topics,1
local elections,General Election Topics,0
mid term elections,General Election Topics,1
mid term elections 2022,General Election Topics,1
midterm election 2022,General Election Topics,1
midterm election polls,General Election Topics,1
midterm election predictions,General Election Topics,1
midterm election results,General Election Topics,1
midterm elections,General Election Topics,1
midterm polls,General Election Topics,1
midterms house,General Election Topics,0
next election,General Election Topics,1
november 2022 election,General Election Topics,1
opinions on the election,General Election Topics,0
primary election,General Election Topics,1
red wave 2022,General Election Topics,0
senate race,General Election Topics,0
should i vote,General Election Topics,0
us election,General Election Topics,1
us election 2022,General Election Topics,1
voters guide,General Election Topics,0
what are midterm elections,General Election Topics,1
what is a midterm election,General Election Topics,1
what is midterm election,General Election Topics,1
what is the midterm election,General Election Topics,1
when are 2022 elections,General Election Topics,1
when are midterm elections,General Election Topics,1
when is midterm election,General Election Topics,1
when is midterm election 2022,General Election Topics,1
when is midterm elections,General Election Topics,1
when is the midterm election,General Election Topics,1
ballot box,Voting Logistics,1
ballot drop box,Voting Logistics,1
ballot drop off,Voting Logistics,1
ballot drop off near me,Voting Logistics,0
early voting locations,Voting Logistics,0
early voting locations near me,Voting Logistics,1
early voting sites,Voting Logistics,0
early voting sites near me,Voting Logistics,1
election close to me,Voting Logistics,0
election day,Voting Logistics,1
election day 2022,Voting Logistics,1
election office near me,Voting Logistics,1
elections near me,Voting Logistics,1
how to check if i am registered to vote,Voting Logistics,0
how to register to vote,Voting Logistics,0
local polling place,Voting Logistics,0
mail in ballot,Voting Logistics,1
mail in ballots,Voting Logistics,1
midterm election date,Voting Logistics,1
midterm election day,Voting Logistics,1
my congressional district,Voting Logistics,0
my local voting station,Voting Logistics,0
vote near me,Voting Logistics,1
voting,Voting Logistics,0
voting box,Voting Logistics,0
voting box near me,Voting Logistics,1
voting center,Voting Logistics,0
voting center near me,Voting Logistics,1
voting early,Voting Logistics,0
voting early near me,Voting Logistics,1
voting hours,Voting Logistics,0
voting hours near me,Voting Logistics,1
voting location,Voting Logistics,1
voting location near me,Voting Logistics,1
voting locations near me,Voting Logistics,1
voting near me,Voting Logistics,1
voting place,Voting Logistics,0
voting place near me,Voting Logistics,1
voting places near me,Voting Logistics,1
voting poll near me,Voting Logistics,1
voting polls,Voting Logistics,0
voting polls near me,Voting Logistics,1
voting sites,Voting Logistics,0
voting sites near me,Voting Logistics,1
voting today,Voting Logistics,0
voting today near me,Voting Logistics,1
what district am i in,Voting Logistics,0
when do polls end?,Voting Logistics,0
where can I vote?,Voting Logistics,0
where do I vote in midterms?,Voting Logistics,0
where to vote,Voting Logistics,0
where to vote near me,Voting Logistics,1
