domain,is_state_of_interest,place,county,state,country,type,multi_state,district,Source
a2gov.org,1,ann arbor,,michigan,USA,Local,,,GSA
aacounty.org,0,,anne arundel county,Maryland,USA,County,,,GSA
accessduarte.com,1,duarte,,california,USA,Local,,,GSA
accesskent.com,1,accesskent,,michigan,USA,Local,,,GSA
acgov.org,1,,alameda county,California,USA,County,,,GSA
acworth.org,1,acworth,,georgia,USA,Local,,,GSA
adacounty.id.gov,0,,Ada County,Idaho,USA,County,,,Manual Review
adak-ak.gov,1,Adak,,Alaska,USA,Local,,,CISA
adams.house.gov,1,,,North Carolina,,rep,,12,Manual Review
adamscounty.us,1,,adams county,Pennsylvania,USA,County,,,GSA
adamsmith.house.gov,1,,,Washington,,rep,,9,Manual Review
aguilar.house.gov,1,,,California,,rep,,33,Manual Review
akleg.gov,1,,,Alaska,USA,State,,,CISA
alaska.gov,1,,,Alaska,USA,State,,,CISA
albanycounty.com,1,,albany county,New York,USA,County,,,GSA
albemarle.org,1,,albemarle county,Virginia,USA,County,,,GSA
alexandercountync.gov,1,,alexander county,North Carolina,USA,County,,,CISA
alleghenycounty.us,1,,allegheny county,Pennsylvania,USA,County,,,GSA
allen.house.gov,1,,,Georgia,,rep,,12,Manual Review
allencounty.us,1,,Allen County,Indiana,USA,County,,,Manual Review
allencountyinvoters.gov,1,,allen county,Indiana,USA,County,,,CISA
allentownpa.gov,1,Allentown,,Pennsylvania,USA,Local,,,CISA
allentownship.org,1,allen township,,pennsylvania,USA,Local,,,GSA
alpharetta.ga.us,1,alpharetta,,georgia,USA,Local,,,GSA
alton.nh.gov,1,Alton,,New Hampshire,USA,Local,,,Manual Review
amodei.house.gov,1,,,Nevada,,rep,,2,Manual Review
amsterdamny.gov,1,Amsterdam,,New York,USA,Local,,,CISA
anaheim.net,1,anaheim,,california,USA,Local,,,GSA
andersoncountysc.org,0,,anderson county,South Carolina,USA,County,,,GSA
andoverma.gov,0,Andover,,Massachusetts,USA,Local,,,CISA
annapolis.gov,0,Annapolis,,Maryland,USA,Local,,,CISA
anokacountymn.gov,1,,anoka county,Minnesota,USA,County,,,CISA
apachecountyaz.gov,1,,apache county,Arizona,USA,County,,,CISA
apexnc.org,1,apex,,north carolina,USA,Local,,,GSA
appleton.org,1,appleton,,wisconsin,USA,Local,,,GSA
applevalley.org,1,apple valley,,california,USA,Local,,,GSA
apps.sos.wv.gov,0,,,West Virginia,USA,State,,,CISA
arapahoevotes.gov,1,,arapahoe county,Colorado,USA,County,,,CISA
arcadiaca.gov,1,Arcadia,,California,USA,Local,,,CISA
archuletacounty.org,1,,archuleta county,Colorado,USA,County,,,GSA
arlingtonma.gov,0,Arlington,,Massachusetts,USA,Local,,,CISA
artesianm.gov,1,Artesia,,New Mexico,USA,Local,,,CISA
arvin.org,1,arvin,,california,USA,Local,,,GSA
ashecountygov.com,1,,ashe county,North Carolina,USA,County,,,GSA
assembly.state.ny.us,1,,,New York,USA,State,,,Manual Review
atchisoncountyks.org,1,,atchison county,Kansas,USA,County,,,GSA
atlantaga.gov,1,Atlanta,,Georgia,USA,Local,,,CISA
attorneygeneral.gov,1,,,Pennsylvania,USA,State,,,CISA
auburnalabama.org,0,auburn,,alabama,USA,Local,,,GSA
auburnmaine.gov,1,Auburn,,Maine,USA,Local,,,CISA
augustaga.gov,1,Augusta,,Georgia,USA,Local,,,CISA
augustamaine.gov,1,Augusta,,Maine,USA,Local,,,CISA
aurora-il.org,1,aurora,,illinois,USA,Local,,,GSA
austintexas.gov,1,Austin,,Texas,USA,Local,,,CISA
averycountync.gov,1,,avery county,North Carolina,USA,County,,,CISA
avondaleaz.gov,1,Avondale,,Arizona,USA,Local,,,CISA
aws.state.ak.us,1,,,Alaska,USA,State,,,Manual Review
az.gov,1,,,Arizona,USA,State,,,CISA
azcleanelections.gov,1,,,Arizona,USA,State,,,CISA
azcourts.gov,1,,,Arizona,USA,State,,,CISA
azdot.gov,1,,,Arizona,USA,State,,,CISA
azgovernor.gov,1,,,Arizona,USA,State,,,CISA
azleg.gov,1,,,Arizona,USA,State,,,CISA
azsos.gov,1,,,Arizona,USA,State,,,CISA
bacon.house.gov,1,,,Nebraska,,rep,,2,Manual Review
bakersfieldcity.us,1,bakersfield,,california,USA,Local,,,GSA
baldwincountyga.com,1,,baldwin county,Georgia,USA,County,,,GSA
baltimorecity.gov,0,Baltimore,,Maryland,USA,Local,,,CISA
baltimorecountymd.gov,0,,baltimore county,Maryland,USA,County,,,CISA
bangormaine.gov,1,Bangor,,Maine,USA,Local,,,CISA
banning.ca.us,1,Banning,,California,USA,Local,,,Manual Review
barharbormaine.gov,1,Bar Harbor,,Maine,USA,Local,,,CISA
barroncountywi.gov,1,,barron county,Wisconsin,USA,County,,,CISA
barrowga.org,1,barrow,,georgia,USA,Local,,,GSA
barrycounty.org,1,,barry county,Michigan,USA,County,,,GSA
barstowca.org,1,barstow,,california,USA,Local,,,GSA
bartowcountyga.gov,1,,bartow county,Georgia,USA,County,,,CISA
bass.house.gov,1,,,California,,rep,,37,Manual Review
battlecreekmi.gov,1,Battle Creek,,Michigan,USA,Local,,,CISA
baycounty-mi.gov,1,,bay county,Michigan,USA,County,,,CISA
baycountyfl.gov,1,,bay county,Florida,USA,County,,,CISA
bayvotesfl.gov,1,,bay county,Florida,USA,County,,,CISA
bcnv.org,1,boulder city,,nevada,USA,Local,,,GSA
beaumontca.gov,1,Beaumont,,California,USA,Local,,,CISA
beavercountypa.gov,1,,beaver county,Pennsylvania,USA,County,,,CISA
beavertonoregon.gov,1,Beaverton,,Oregon,USA,Local,,,CISA
bedfordcountyva.gov,1,,bedford county,Virginia,USA,County,,,CISA
bedfordnh.org,1,bedford,,new hampshire,USA,Local,,,GSA
belen-nm.gov,1,Belen,,New Mexico,USA,Local,,,CISA
bellcountytx.com,1,,bell county,Texas,USA,County,,,GSA
bellflower.org,1,bellflower,,california,USA,Local,,,GSA
bellgardens.org,1,bell gardens,,california,USA,Local,,,GSA
belmont-ma.gov,0,Belmont,,Massachusetts,USA,Local,,,CISA
beloitwi.gov,1,Beloit,,Wisconsin,USA,Local,,,CISA
bendoregon.gov,1,Bend,,Oregon,USA,Local,,,CISA
bera.house.gov,1,,,California,,rep,,6,Manual Review
bergman.house.gov,1,,,Michigan,,rep,,1,Manual Review
bernco.gov,1,,bernalillo county,New Mexico,USA,County,,,CISA
berncoclerk.gov,1,,bernalillo county,New Mexico,USA,County,,,CISA
berriencounty.org,1,,berrien county,Michigan,USA,County,,,GSA
bethelmaine.org,1,bethel,,maine,USA,Local,,,GSA
beverlyhills.org,1,beverly hills,,california,USA,Local,,,GSA
beverlyma.gov,0,Beverly,,Massachusetts,USA,Local,,,CISA
bexar.org,1,,bexar county,Texas,USA,County,,,GSA
beyer.house.gov,1,,,Virginia,,rep,,8,Manual Review
bilirakis.house.gov,1,,,Florida,,rep,,12,Manual Review
bishop.house.gov,1,,,Georgia,,rep,,2,Manual Review
blairco.org,1,,blair county,Pennsylvania,USA,County,,,GSA
bloomfieldhillsmi.net,1,bloomfield hills,,michigan,USA,Local,,,GSA
bloomfieldtwp.org,1,bloomfield township,,michigan,USA,Local,,,GSA
bloomingtonmn.gov,1,Bloomington,,Minnesota,USA,Local,,,CISA
blueearthcountymn.gov,1,,blue earth county,Minnesota,USA,County,,,CISA
blumenauer.house.gov,1,,,Oregon,,rep,,3,Manual Review
bobbyscott.house.gov,1,,,Virginia,,rep,,3,Manual Review
